name,genus,subgenus,section,series,subseries,species,subspecies,variety,habit_tree,habit_mallee,habit_marlock,habit_shrub,height_max_m,regen_lignotuber,regen_epi_buds,regen_lat_roots,blade_lanceolate,blade_falcate,blade_elliptic,blade_linear,blade_ovate,blade_oblong,blade_orbicular,blade_cordate,blade_deltoid,blade_oblanceolate,blade_obovate,blade_obcordate,leaf_length_mm_min,leaf_length_mm_max,leaf_width_mm_min,leaf_width_mm_max,reticulation_sparse,reticulation_moderate,reticulation_dense,reticulation_very_dense,reticulation_obscure,reticulation_unknown,reticulation_absent,oil_glands_island,oil_glands_intersectional,oil_glands_obscure,oil_glands_absent,seed_length_mm_min,seed_length_mm_max,seed_shape_flat_ovoid,seed_shape_ovoid,seed_shape_oblique_pyramidal,seed_shape_pyramidal,seed_shape_cuboid,seed_shape_subspherical,flower_white,flower_yellow,flower_green_yellow,flower_red,flower_orange,flower_purple,botanical_desc
corymbia abbreviata,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,235,NA,110,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,16,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree to 7 m tall. Forming a lignotuber. -BREAK- Bark rough to the small branches, thick, tessellated to flaky, grey to grey-brown over red-brown. -BREAK- Branchlets lack oil glands in the pith; smooth (glabrous), silvery to greenish, not glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, smooth; juvenile leaves opposite, sessile, cordate, large, 15--23 cm long, 8--15 cm wide, stem-clasping, green, more or less smooth, sometimes a few scattered bristle-glands bearing simple hairs can be found on the lamina.  -BREAK- Crown of stiff, juvenile leaves, opposite, sessile or on very short petioles (0--0.5 cm); blade cordate to broadly lanceolate, 7--23.5 cm long, 3--11 cm wide, undulate, base usually amplexicaul or lobed, rarely rounded, margin entire, apex pointed, concolorous or slightly discolorous, dull, green but yellowish near main veins, glabrous (rarely a few sparse bristle-glands at the base of the lamina), side-veins at a wide angle to the midrib and widely spaced, and looping to form intramarginal vein, reticulation very dense, oil glands apparently absent. -BREAK- Inflorescence usually terminal compound although somewhat congested and with very few branches, sometimes reduced to solitary axillary umbels, the inflorescence internodes and peduncles scabrid with ferrugineous setae (bristle-glands) when first formed but soon becoming smooth, peduncles stout, rounded to angular, ultimately smooth, 0.3--1.8(2.5) cm long; umbels of usually 7, rarely 9 or 11 buds per umbel, sessile or on pedicels to 0.3 cm long. Mature buds obovoid to pyriform (1.1--1.6 cm long, 0.9--1.2 cm wide when mature), reddish and smooth, scar absent (both opercula shed together at flowering), operculum rounded, stamens inflexed, all fertile, anthers versatile, dorsifixed, oblong, dehiscing by longitudinal slits, style long and straight, stigma blunt and ?papillose, locules 4, with ca 7 or 8 vertical ovule rows on the placentae, or the rows indistinct. Flowers creamy white. -BREAK- Fruit sessile or pedicellate (pedicels to 0.5 cm long), urceolate with a conspicuous erect neck, 2--3.5 cm long, 1.7--3 cm wide, longer than wide, surface smooth, disc descending vertically, valves 4, enclosed. -BREAK- Seeds brown, 10--16 mm long, ellipsoidal with terminal wing, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons large, reniform; stems rounded in cross-section, setose with bristle-glands bearing short simple hairs; leaves opposite, sessile to very shortly petiolate (petioles to 0.3 cm), ovate to elliptical, 4--9.5 cm long, 2--5 cm wide, base rounded or tapering to petiole, becoming stem-clasping higher up the stem, apex rounded or pointed, mid-green, Â± concolorous, setose on both sides with bristle-glands bearing short simple hairs. "
corymbia abergiana,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,12,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,152,20,64,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6,12,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree 3 m to 12 m tall. Forming a lignotuber. -BREAK- Bark rough, more or less tessellated or at least deeply fissured, coarsely fibrous and brittle, extending over trunk and limbs to 5--10 cm diameter, greyish brown. -BREAK- Branchlets smooth (glabrous); long oil ducts sometimes visible in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, setose; juvenile leaves always shortly petiolate, opposite for ca 20 nodes then becoming alternate, ovate-elliptic to elliptic-lanceolate, (4.5)8--13.5 cm long, (1.3)2--5(8) cm wide, base rounded or tapering to petiole, apex rounded or scarcely pointed, green, discolorous, glossy above, glabrous except for setae on petiole. -BREAK- Adult leaves predominantly alternate but opposite and sub-opposite pairs are always present, petioles 1.3--4 cm long; blade lanceolate to broadly so, ovate intermediate leaves present at times, 8--15.2(18) cm long, 2--6.4 cm wide, base rounded or tapering to petiole, margin entire, apex finely pointed, strongly discolorous, glossy dark green above, paler below, smooth, side-veins at greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present but very close to margin (more easily seen from underside when dry), oil glands small, island. -BREAK- Inflorescence terminal compound, peduncles rounded, 0.5--3.8 cm long, buds in umbels of (3)7, usually sessile, very rarely with pedicels to 0.5 cm long and then most other buds in that umbel sessile. Mature buds ovoid to obovoid to broadly fusiform (1.2--1.8 cm long, 0.8--1.1 cm wide), basally green with operculum rusty and Â± scurfy to warty, scar absent (both opercula shed together at flowering), operculum rounded to conical and with the thick outer (calycine) operculum incompletely fused at the apex of lobes whilst inner (petaline) operculum is much thinner and completely fused but with 4 suture lines visible on its surface, stamens inflexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma blunt and shortly papillose, locules 4, the ovules not arranged in clear rows on the placentae (sometimes 7 rows Â± discernable). Flowers creamy white. -BREAK- Fruit sessile, truncate-ovoid to barrel-shaped lacking a contracted neck but having a very thick rim, rarely slightly urceolate, (1.8)2.1--3.4 cm long, (1.5)1.8--2.6 cm wide, longer than wide, Â± rusty, rim thick, flat and sometimes split but disc descending vertically from the rim, valves 4, enclosed. -BREAK- Seeds brown to red-brown, 6--12(14) mm long, ellipsoidal with terminal wing, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section, setose with long bristle-glands; leaves petiolate, opposite, ovate-elliptic, 7--10.5 cm long, 1.7--5.5 cm wide, base rounded at lower nodes but from ca node 6--8 to node 14 peltate, apex rounded or bluntly pointed, green, discolorous, glossy above after node ca 7, sparsely setose on both sides especially on midrib and margins throughout seedling phase.  "
corymbia aparrerinja,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,7,32,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree to 20 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, seasonally powdery, white to cream and pinkish, shedding in thin patches. -BREAK- Branchlets lack glands in the pith; non-glaucous, smooth. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, scabrid only on the lowest internode; juvenile leaves always shortly petiolate, opposite, usually ovate, only becoming lanceolate after ca 0.4--0.5 m of growth, (3)5--15.5 cm long, 2--6.5 cm wide, base rounded to tapering, apex blunt or pointed, lower leaves green-grey, becoming yellow-green at higher nodes; only the lowermost leaves scabrid with bristle-glands and then only on underside. -BREAK- Crown predominantly of alternate adult leaves, with few pairs opposite. -BREAK- Adult leaves alternate, petioles 0.5--2(2.5) cm long; blade lanceolate or falcate, 5--16.5 cm long, 0.7--3.2 cm wide, flat or twisted to undulate, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green to yellow-green, side-veins at greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present, oil glands apparently absent. -BREAK- Inflorescence axillary compound, with rhachis internodes very shortened (condensed), peduncles Â± rounded, 0--0.4 cm long, buds usually in 3s on side-branches of inflorescence and in 7s terminally, pedicels 0.2--0.5 cm long. Mature buds obovoid to pyriform, 0.6--0.7 cm long, 0.5--0.6 cm wide, ?smooth, whitish but not waxy nor scurfy, scar present (outer operculum shed early, whole or in scaly fragments), operculum shallowly rounded, stamens inflexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma Â± blunt, locules 3, the placentae each with ca 5 vertical ovule rows, but the rows Â± indistinct. Flowers white. -BREAK- Fruit usually pedicellate (pedicels (0)0.2--0.6 cm long), cupular to Â± cylindrical but widest at rim, (0.8)0.9--1.3 cm long, (0.6)0.7--0.9 cm wide, thin walled, disc descending vertically or obliquely, valves 3, enclosed or at rim level. -BREAK- Seeds brown, 4--6 mm long, saucer-shaped, smooth, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons large, orbicular-reniform; stems rounded in cross-section, setose with bristle-glands of variable density and length; leaves always petiolate (petioles to 0.9 cm), opposite for at least 17 nodes, ovate, 5--10 cm long, 1.8--5 cm wide, base rounded or tapering, dull, grey-green to mid-green, setose on underside only near midrib or glabrous. "
corymbia arafurica,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,207,13,55,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree to 15 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, powdery, white to creamy white or pale grey-brown; rarely with a short stocking of Â± tessellated rough bark at the base of the trunk. -BREAK- Branchlets lack oil glands in the pith; smooth. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, smooth or with a few very sparse bristle-glands; juvenile shortly leaves petiolate, opposite to sub-opposite, robustly ovate to lanceolate, 15--25 cm long, 7--12 cm wide, base rounded or tapering to petiole, apex rounded and apiculate or pointed, margin entire or coarsely indented, green, dull, sparsely setose soon becoming glabrous. -BREAK- Adult leaves alternate, petioles 0.5--2.6 cm long; blade lanceolate, 8--20.7 cm long, 1.3--5.5 cm wide, undulate, base tapering to petiole or rounded, margin entire, apex pointed, undulate, concolorous, glossy, green, side-veins at less than or greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present, oil glands apparently absent. -BREAK- Inflorescence axillary compound, rarely terminal to the branchlet, with an expanded rhachis up to 5 internodes, the basal internode 0.6--2 cm long and subsequent internodes each 0.2 to 0.7 cm long, peduncles variable within an inflorescence, 0.1--0.9 cm long; buds 3 or 7 per umbel, pedicellate (pedicels 0.2--1.1 cm long. Mature buds pyriform (0.5--0.8 cm long, 0.4--0.6 cm wide), smooth, scar present (outer operculum shed early), operculum shallowly rounded and sometimes apiculate, stamens inflexed, all fertile, anthers Â± cuboid, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3(4), the ovules irregularly arranged on the placentae. Flowers creamy white, perfumed. -BREAK- Fruit pedicellate (pedicels 0.5--1.2 cm long), cylindrical to barrel-shaped, less commonly urceolate or Â± obconical, 0.9--1.2 cm long, 0.6--1 cm wide, thin-walled, disc descending vertically, valves 3, enclosed. -BREAK- Seeds brown, 3--7 mm long, saucer-shaped, smooth, hilum ventral.  Cultivated seedlings (measured at ca node 10): not grown.  "
corymbia arenaria,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,160,8,30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree 7 m tall, often of tumbledown appearance. Forming a lignotuber. -BREAK- Bark rough and thick, over whole trunk and branches to ca 3 cm diameter, fissured to chunky tessellated to crumbly and flaky, dark brown to grey-brown, reddish brown underneath, any smooth bark white to pale brown-grey. -BREAK- Branchlets lack oil glands in the pith; smooth, rarely glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, setose only on lowest part; leaves sessile at first, slightly setose and with amplexicaul bases at lowest nodes, soon becoming shortly petiolate, remaining opposite for at least 25 nodes, broadly lanceolate, 9--18 cm long, 1.8--4 cm wide, base strongly lobed on lowest leaves, never peltate, becoming rounded then tapering up stem, apex pointed, mid green, glabrous. -BREAK- Adult leaves alternate, petioles 0.6--2 cm long; blade lanceolate to falcate, 6--16(19) cm long, 0.8--3 cm wide, base tapering to petiole, margin entire, apex pointed, thin-textured, concolorous or slightly discolorous, dull, green to grey-green, side-veins greater than 45° to midrib (penniveined), reticulation dense to very dense, intramarginal vein very close to edge, oil glands intersectional, one per areole, or obscure. -BREAK- Inflorescence terminal compound, branches sometimes glaucous, peduncles rounded to angular, slender, 0.4--1.4 cm long, buds 7 per umbel, pedicels 0.1--0.6 cm long. Mature buds pyriform to obovoid or ovoid (about 0.4 cm long, 0.3 cm wide), glossy, smooth, scar absent (both opercula shed together at flowering), operculum shallowly rounded to broadly conical, stamens inflexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma blunt and mop-like, locules 4, the placentae each with a small cluster of ovules, arranged in Â± 3 rows. Flowers white. -BREAK- Fruit pedicellate (pedicels 0.1--0.6 cm long), globular-urceolate with a short or longish neck that is flared slightly at the rim or not flared, the base of fruit flat, 0.8--1.3 cm long, 0.7--1.3 cm wide, smooth, scarcely speckled, disc descending vertically, valves 4, enclosed. -BREAK- Seeds brown, 5--8 mm long, ellipsoidal with terminal wing, hilum Â± ventral. Cultivated seedlings (measured at ca node 10): cotyledons smallish, reniform; stems rounded in cross-section, prominently setose with bristle-glands for at least 19 nodes; leaves sessile or with petioles to 0.6 cm long, opposite for 19+ nodes, elliptic to oblong becoming ovate-lanceolate, 4--8.7 cm long, 0.9--3.1 cm wide, base amplexicaul to lobed or rounded, distinctly discolorous, darker green above, setose with bristle-glands on underside, and with a carpet of short white simple hairs also present on underside. "
corymbia arnhemensis,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,15,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,180,8,18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree 15 m tall. Forming a lignotuber. -BREAK- Bark rough, grey to grey-brown, thick and tessellated over at least lower trunk, more usually over entire trunk and sometimes larger branches also; branches smooth, white to pinkish or orange-grey. -BREAK- Branchlets lack oil glands in the pith; smooth, sometimes glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded to square in cross-section, setose with bristle-glands and glaucous (waxy, not with white rubbery cuticle); juvenile leaves always petiolate, opposite to sub-opposite for ca 25--30 nodes, oblong-elliptical to ovate or lanceolate, 3.5--11.5 cm long, 2--4 cm wide, base shallowly lobed to truncate or rounded, green or glaucous, sparsely setose with bristle-glands on both surfaces with a carpet of short white simple hairs on the underside only.  -BREAK- Adult leaves alternate, petioles 0.6--2.5 cm long; blade lanceolate to falcate, 7.5--18 cm long, 0.8--1.8(2.5) cm wide, base tapering to petiole, margin entire, apex pointed, thin-textured, discolorous, dull, green, glabrous, side-veins greater than 45° to midrib (penniveined), reticulation dense to very dense, intramarginal vein very close to edge, oil glands obscure or visible and intersectional. -BREAK- Inflorescence terminal compound, rhachis branches often whitish, peduncles rounded, slender, 0.4--1.5 cm long, buds 7 per umbel, pedicels slender (0.1--0.9 cm long). Mature buds narrowly pyriform to obovoid (0.4--0.6 cm long, 0.3--0.4 cm wide), glossy, smooth, scar absent (both opercula shed together at flowering), operculum shallowly rounded and often apiculate to conical, stamens inflexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma blunt and mop-like, locules (3)4, the placentae each with few ovules, not clearly arranged in rows. Flowers white. -BREAK- Fruit pedicellate (pedicels 0.1--0.9 cm long), urceolate with a short neck that is flared slightly at the rim, 0.8--1.4 cm long, 0.6--1 cm wide, smooth but speckled, disc descending vertically, valves (3)4, enclosed. -BREAK- Seeds brown, 5--6 mm long, ellipsoidal with terminal wing, hilum Â± ventral. Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded or square in cross-section, prominently setose with bristle-glands; leaves always petiolate, opposite for 16+ nodes, lower leaves small, lanceolate, becoming larger and linear-lanceolate up the stem, 5--10.5 cm long, 0.7--1.7 cm wide, base tapering to truncate or rounded, green, setose on underside, a carpet of short white simple hairs also present on underside. "
corymbia aspera,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,68,NA,35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree to 15 m tall, though often shorter. Forming a lignotuber. -BREAK- Bark either smooth throughout, white or cream to very pale grey or pink-brown, or with a basal stocking of grey-brown tessellated rough bark. -BREAK- Branchlets lack oil glands in the pith; setose to scabrid with bristle-glands. In this species the bristle-glands lack simple hairs. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, setose with bristle-glands; juvenile leaves sessile, opposite, cordate to ovate, 2--6.5 cm long, 1--4.3 cm wide, amplexicaul, apex rounded and apiculate, margin entire, green to greyish green, setose with bristle-glands above and below.  -BREAK- Crown consists of juvenile leaves, opposite, sessile or with petioles to 0.3 cm long; blade cordate to ovate or rarely Â± elliptical, 1.5--6.8 cm long, 0.7--3.5 cm wide, base amplexicaul to rounded, margin entire, apex rounded, concolorous, dull, green to grey-green, usually setose to scabrid with bristle-glands, side-veins at more than 45° to midrib, reticulation dense to very dense, intramarginal vein present, oil glands not visible. -BREAK- Inflorescence axillary compound, condensed with only the basal internode obvious (to 0.6 cm long), peduncles rounded to angular, 0--0.3 cm long, buds 7 per umbel though may appear to be in umbels of more than this when peduncles are much reduced, pedicellate (pedicels 0.2--0.7cm). Mature buds obovoid to pyriform (0.3--0.5 cm long, 0.3--0.4 cm wide), surface smooth, scar present (outer operculum shed during bud development), operculum flattened and very shallow, stamens usually inflexed, rarely a few stamens irregularly flexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma Â± tapering, locules 3, the placentae each with ovules arranged in ca 3 vertical rows or the rows indistinct. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.1--0.6 cm long), cupular to cylindrical or barrel-shaped, 0.5--0.8 cm wide, 0.4--0.7 cm wide, thin-walled, smooth, disc descending vertically, valves 3, enclosed. -BREAK- Seeds brown to reddish brown, flattened to saucer-shaped, dorsal surface smooth, hilum ventral.  Cultivated seedlings (measured at ca node 10): not grown.  "
corymbia aureola,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,15,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100,205,12,30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Tree to 15 m tall. Forming a lignotuber. -BREAK- Bark rough on trunk and limbs but smallest branches smooth; rough bark thick, loosely flaky to tessellated, greyish yellow over orange-yellow. -BREAK- Branchlets smooth (glabrous); have Â± elongated oil ducts in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded to square in cross-section, setose; juvenile leaves opposite or becoming alternate, always petiolate, ovate-lanceolate to cordate, 11--28 cm long, 4--10 cm wide, base lobed and peltate, apex pointed, discolorous, green, Â± glossy, setose only on main veins and petiole. -BREAK- Crown of glabrous Adult leaves; leaves alternate, petiole 1.1--3 cm long; lanceolate or falcate, (8.5)10--20.5 cm long, 1.2--3(4) cm wide, flat, base tapering to petiole or rounded, apex finely pointed, margin entire, concolorous, glossy, green, penniveined, densely to very densely reticulate, intramarginal vein parallel to and just within margin, oil glands island, small, numerous, often more than 1 per areole. -BREAK- Inflorescence terminal compound, peduncles 0.8--2.6 cm long, buds 7 per umbel, sessile or shortly pedicellate (pedicels to 0.4 cm long). Mature buds obovoid to ovoid (0.8--0.9 cm long, 0.7 cm wide), sometimes white on surface due to rubbery cuticle (not wax), scar present (outer operculum shed early), operculum flattened and prominently umbonate, or conical, stamens inflexed, anthers Â± oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma tapered, locules 3, the ovules arranged in 5 or 7 Â± vertical rows on the placentae. Flower colour unknown. -BREAK- Fruit sessile or shortly pedicellate (pedicels to 0.4 cm), barrel-shaped to urceolate or cylindrical to cup-shaped, 1--1.7 cm long, 0.9--1.6 cm wide, disc descending, valves 3, enclosed. -BREAK- Seeds brown to reddish brown and shiny, 4--6 mm long, boat-shaped with a keel on the smooth and usually cracked dorsal surface, not winged but some seeds have a short flange at one end, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to orbicular; stems rounded to square in cross-section, prominently setose; leaves always petiolate, mainly opposite but occasionally disjunct leaf pairs present, ovate to lanceolate, 9--16.5 cm long, 4--8 cm wide, base of lowest leaves rounded but upper leaves peltate, margin undulate or not, apex rounded or pointed, discolorous, green, glossy by node ca 10+, setose only on midrib and petiole. "
corymbia bella,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,230,6,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree to 20 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout, powdery, white to creamy white or pale grey; rarely with scant thin rough bark at the very base of the trunk. -BREAK- Branchlets lack oil glands in the pith; non-glaucous, smooth. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, smooth; juvenile leaves petiolate, opposite or tending to sub-opposite, smaller elliptic at first soon becoming longer and lanceolate up stem, 6.5--11(19) cm long, 1.7--3 cm wide, base tapering to petiole, green, dull, glabrous. -BREAK- Adult leaves alternate, occasionally a pair opposite, petioles 0.5--2.1 cm long; blade lanceolate to narrowly so or slightly falcate, 7--23 cm long, 0.6--2.5 cm wide, base tapering to petiole, margin entire or coarsely indented, apex pointed, undulate, concolorous, green to slightly grey-green, dull or slightly glossy, usually with side-veins at greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present, oil glands obscure. -BREAK- Inflorescence axillary compound or rarely terminal compound, with an expanded rhachis with 2 to 4 internodes, the basal internode 0.5--1 cm long and subsequent internodes each up to ca 0.2--0.5 cm long, peduncles variable within an inflorescence, 0.1--0.9 cm long, buds usually 3 per umbel (rarely 7), on pedicels 0.1--0.5 cm long. Mature buds pyriform (0.5--0.7 cm long, 0.4--0.5 cm wide), smooth, scar present (outer operculum shed early), operculum shallowly rounded and sometimes apiculate, stamens inflexed, all fertile, anthers Â± cuboid, dorsifixed, versatile, dehiscing by longitudinal slits, style as long as or shorter than the floral cavity, straight, stigma blunt, locules 3, the ovules irregularly arranged on the placentae. Flowers creamy white, perfumed. -BREAK- Fruit pedicellate (pedicels 0.1--0.6 cm long), cupular to barrel-shaped or urceolate, 0.8--1.1 cm long, 0.6--1.1 cm wide, thin-walled, disc descending vertically, valves 3, enclosed. -BREAK- Seeds brown, 3--7 mm long, saucer-shaped, smooth, hilum ventral. Cultivated seedlings (measured at ca node 10): not grown. "
corymbia blakei,Corymbia,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,10,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,130,3,18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE," Tree 10 m tall. Forming a lignotuber. -BREAK- Bark partly rough on oldest plants or wholly smooth on smaller plants; rough bark forming a stocking on lower trunk often very short, rarely for up to 1.5 m of trunk, tessellated and dark grey; smooth bark white to pale cream-grey or pink-grey, powdery.  -BREAK- Branchlets usually have oil ducts in the pith; branchlets not setose or scabrid.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, setose with bristle-glands bearing simple hairs on lower stem but becoming sparse by 20 cm tall; leaves opposite to sub-opposite becoming alternate on upper stem, shortly petiolate (petioles 0.1--0.2 cm), cordate or ovate to elliptical, 2--6 cm, long, 1--3 cm wide, base lobed to rounded then becoming tapered, margin entire, apex rounded or pointed, green to grey-green, sparsely setose becoming glabrous. -BREAK- Crown consists of adult leaves. -BREAK- Adult leaves sub-opposite to alternate, petioles 0.3--1.7 cm long; blade linear to narrowly lanceolate or narrowly falcate, sometimes narrowly elliptical, 4--13 cm long, 0.3--1.8 cm wide, flat, base tapering, margin entire, apex pointed, concolorous, side-veins at greater than 45° to midrib, reticulation dense to very dense, intramarginal vein present, oil glands ?obscure or minute, island. -BREAK- Inflorescence axillary compound and condensed, the rhachis consisting of a basal internode ca 0.1--0.4 cm long, sometimes a second internode to 0.3 cm long but often absent, bearing peduncles 0--0.2 cm long but of of variable length within a single inflorescence; buds in umbels of (?3)7, pedicels 0.1--0.4 cm long. Mature buds pyriform (0.4--0.5 cm long, 0.3--0.4 cm wide), smooth, scar present (outer operculum shed early), operculum shallowly rounded, stamens inflexed, all fertile, anthers oblong, dorsifixed, versatile, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3, the ovules arranged in 3 Â± regular vertical rows on the placentae or the rows obscure. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.1--0.4 cm long), barrel-shaped to Â± cylindrical or cupular, 0.6--1 cm long, 0.5--0.9 cm wide, thin-walled, disc descending vertically, valves 3, enclosed. -BREAK- Seeds not seen.  Cultivated seedlings (measured at ca node 10): not grown yet.  "
